I,Window Size,Processing Time (s),Events/s,CPU (%), Memory (MB),CPU (%)
1,100,1.0586979389190674,94.45564813519916,0.0,194.03125,
2,100,0.011036157608032227,9061.124673248503,8.625,194.03125,
3,100,0.009996175765991211,10003.825697044864,8.2375,194.03125,
4,100,0.009460926055908203,10569.789829141677,8.0,194.0625,
5,100,0.009116172790527344,10969.515639711266,8.05,194.0625,
6,100,0.00874185562133789,11439.218894888998,7.625,194.0625,
7,100,0.00865316390991211,11556.46663360335,7.65,194.0625,
8,100,0.009015083312988281,11092.520892838253,7.85,194.0625,
9,100,0.008385181427001953,11925.800398066534,7.5,194.0625,
10,100,0.009198904037475586,10870.860223414456,7.8625,194.0625,
11,100,0.008771181106567383,11400.97311696431,7.825,194.0625,
12,100,0.008629322052001953,11588.395866718241,7.625,194.0625,
13,100,0.008436918258666992,11852.66905925905,7.575,194.0625,
14,100,0.009765863418579102,10239.750006103366,8.275,195.46875,
15,100,0.008549928665161133,11696.004015504308,7.625,195.46875,
16,100,0.00873112678527832,11453.275443051802,7.7125,195.46875,
17,100,0.007916927337646484,12631.163042823586,7.3,195.46875,
18,100,0.008353233337402344,11971.412261673708,7.5125,195.46875,
19,100,0.008426904678344727,11866.753430471072,7.55,195.46875,
20,100,0.00857090950012207,11667.37322317728,7.65,195.46875,
21,100,0.007921218872070312,12624.3197688418,7.2875,195.46875,
22,100,0.008090972900390625,12359.45308816596,7.4,195.46875,
23,100,0.00966191291809082,10349.917334978409,8.1875,195.46875,
24,100,0.008262872695922852,12102.328533918111,7.4875,195.46875,
25,100,0.009592056274414062,10425.293298866574,8.075,195.46875,
26,100,0.008309125900268555,12034.960259389974,7.4875,195.46875,
27,100,1.8714511394500732,53.43447012428283,7.475,237.078125,
28,100,1.0743060111999512,93.083347721665,12.45,237.140625,
29,100,0.818587064743042,122.16171535936795,12.4375,236.15625,
30,100,0.4709780216217041,212.32413278155335,12.4125,236.15625,
31,100,0.3079359531402588,324.7428531167712,12.375,235.15625,
32,100,0.07725095748901367,1294.4823371829611,12.0125,235.171875,
33,100,1.4878227710723877,67.21230642808509,12.4625,238.484375,
34,100,0.9929170608520508,100.71334650467897,12.45,238.5,
35,100,0.7052061557769775,141.80250580742967,12.4375,238.5,
36,100,0.4481649398803711,223.1321352953068,12.4125,238.53125,
37,100,0.21170592308044434,472.3533406384754,12.325,237.53125,
38,100,0.856093168258667,116.8097161707348,12.4375,241.09375,
39,100,1.193444013595581,83.79111115461735,12.45,241.125,
40,100,0.8392541408538818,119.15341865130038,12.4375,241.125,
41,100,0.6307640075683594,158.5378981681393,12.45,238.171875,
42,100,0.3175630569458008,314.89808972668766,12.375,236.796875,
43,100,0.09592103958129883,1042.5241473247797,12.1625,237.84375,
44,100,0.012169122695922852,8217.51924923101,9.2375,237.84375,
45,100,0.008702993392944336,11490.299427444319,7.7,237.84375,
46,100,0.008157014846801758,12259.38678280186,7.3875,237.84375,
47,100,0.008517265319824219,11740.857686709214,7.6,237.84375,
48,100,0.008233308792114258,12145.785190976747,7.475,237.84375,
49,100,0.00875997543334961,11415.557128082304,7.725,237.84375,
50,100,0.008556842803955078,11686.553357481193,7.625,237.84375,
51,100,0.008095979690551758,12351.80964160556,7.3875,237.84375,
52,100,0.008648872375488281,11562.200904179072,7.675,237.84375,
53,100,0.007985830307006836,12522.179429765636,7.3375,237.84375,
54,100,0.011652708053588867,8581.696163682864,9.625,239.21875,
55,100,0.00961613655090332,10399.186770138596,8.1,239.21875,
56,100,0.00855398178100586,11690.462121634428,7.65,239.234375,
57,100,0.009598970413208008,10417.783959663198,8.0875,239.234375,
58,100,0.009572029113769531,10447.105708877154,8.0875,239.234375,
59,100,0.009145021438598633,10934.911489428267,7.925,239.234375,
60,100,0.01006007194519043,9940.286763834578,8.2875,239.234375,
61,100,0.009192943572998047,10877.908605218114,7.95,239.234375,
62,100,0.009391069412231445,10648.414531975932,8.0125,239.234375,
63,100,0.009443998336791992,10588.735452273359,8.025,239.234375,
64,100,0.008801937103271484,11361.135489463135,7.7875,239.234375,
65,100,0.008579254150390625,11656.024899955535,7.7625,239.234375,
66,100,0.00853586196899414,11715.27847606279,7.6125,239.234375,
67,100,0.008146047592163086,12275.891942517634,7.425,239.234375,
68,100,0.010518789291381836,9506.797524875903,8.5375,239.46875,
