I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
1,100,1.0539519786834717,94.88098321606029,0.0,191.609375,,0,100
2,100,0.01117706298828125,8946.894197952219,8.75,191.609375,,100,200
3,100,0.010425090789794922,9592.242601655766,8.4375,191.609375,,200,300
4,100,0.009563684463500977,10456.221175180117,8.0875,191.609375,,300,400
5,100,0.009016036987304688,11091.34757774487,7.8375,191.609375,,400,500
6,100,0.008901119232177734,11234.542240317138,7.8875,191.609375,,500,600
7,100,0.008458852767944336,11821.934101863075,7.575,191.609375,,600,700
8,100,0.009096860885620117,10992.803040230638,7.8625,191.609375,,700,800
9,100,0.00868678092956543,11511.744202003569,7.7,191.609375,,800,900
10,100,0.009151935577392578,10926.650341270255,7.825,191.609375,,900,1000
11,100,0.00890207290649414,11233.338689806631,7.8,191.609375,,1000,1100
12,100,0.008229732513427734,12151.06321339591,7.4625,191.609375,,1100,1200
13,100,0.008394002914428711,11913.267247990456,7.475,191.609375,,1200,1300
14,100,0.010408878326416016,9607.183105043749,8.45,193.015625,,1300,1400
15,100,0.008413076400756836,11886.258395443081,7.5375,193.015625,,1400,1500
16,100,0.007962942123413086,12558.172400371268,7.35,193.015625,,1500,1600
17,100,0.00817108154296875,12238.28197945845,7.425,193.015625,,1600,1700
18,100,0.008215904235839844,12171.514799767847,7.425,193.015625,,1700,1800
19,100,0.007949113845825195,12580.018595722984,7.325,193.015625,,1800,1900
20,100,0.008116960525512695,12319.882508444705,7.4,193.015625,,1900,2000
21,100,0.008098840713500977,12347.446200947923,7.35,193.015625,,2000,2100
22,100,0.008033990859985352,12447.113986408285,7.375,193.015625,,2100,2200
23,100,0.008510112762451172,11750.7256121477,7.5875,193.015625,,2200,2300
24,100,0.008168935775756836,12241.496658202726,7.4625,193.015625,,2300,2400
25,100,0.00824284553527832,12131.732855118156,7.4625,193.03125,,2400,2500
26,100,0.008471012115478516,11804.96481846327,7.5875,193.03125,,2500,2600
27,100,1.3877391815185547,72.05965020788234,0.2125,194.9375,,2600,2700
28,100,0.014254093170166016,7015.528719098116,9.1,194.9375,,2700,2800
29,100,0.011719942092895508,8532.465366071974,8.65,194.9375,,2800,2900
30,100,0.010456085205078125,9563.808828894564,8.3375,194.9375,,2900,3000
31,100,0.00970602035522461,10302.883812331123,8.075,194.9375,,3000,3100
32,100,0.009186983108520508,10884.966132925025,7.925,194.9375,,3100,3200
33,100,0.008826732635498047,11329.220463508183,7.725,194.9375,,3200,3300
34,100,0.008488178253173828,11781.090949946632,7.6,194.9375,,3300,3400
35,100,0.008793115615844727,11372.5332827201,7.7125,194.9375,,3400,3500
36,100,0.009103059768676758,10985.317304418428,7.85,194.9375,,3500,3600
37,100,0.009344816207885742,10701.120040821534,8.075,194.9375,,3600,3700
38,100,0.009425878524780273,10609.090679145062,7.9375,194.9375,,3700,3800
39,100,0.00872182846069336,11465.485758023071,7.6625,194.9375,,3800,3900
40,100,0.009258031845092773,10801.431845690298,7.9625,194.9375,,3900,4000
41,100,0.011430978775024414,8748.15726353113,8.7625,195.703125,,4000,4100
42,100,0.008150815963745117,12268.710328487437,7.4375,195.703125,,4100,4200
43,100,0.008494138717651367,11772.823981811547,7.5375,195.703125,,4200,4300
44,100,0.008214712142944336,12173.281091278479,7.4625,195.703125,,4300,4400
45,100,0.008295059204101562,12055.369050356403,7.45,195.703125,,4400,4500
46,100,0.00835108757019043,11974.488251919947,7.525,195.703125,,4500,4600
47,100,0.008563995361328125,11676.792873051225,7.5875,195.703125,,4600,4700
48,100,0.008027076721191406,12457.835333254128,7.4,195.703125,,4700,4800
49,100,0.008234977722167969,12143.32368268674,7.425,195.703125,,4800,4900
50,100,0.008033037185668945,12448.591695604428,7.3625,195.703125,,4900,5000
51,100,0.008253335952758789,12116.312794291822,7.45,195.703125,,5000,5100
52,100,0.008144140243530273,12278.766942826194,7.4125,195.703125,,5100,5200
53,100,0.008682012557983398,11518.066730742827,7.65,195.703125,,5200,5300
54,100,1.3869478702545166,72.10076322598135,0.2875,200.859375,,5300,5400
55,100,0.012628316879272461,7918.711650650405,9.125,200.859375,,5400,5500
56,100,0.011362075805664062,8801.208662078227,8.7,200.859375,,5500,5600
57,100,0.010004997253417969,9995.005242588886,8.3125,200.859375,,5600,5700
58,100,0.009474039077758789,10555.160178171478,8.1375,200.859375,,5700,5800
59,100,0.00908803939819336,11003.473424628784,7.9375,200.859375,,5800,5900
60,100,0.008738994598388672,11442.963932995035,7.775,200.859375,,5900,6000
61,100,0.008472681045532227,11802.639502490361,7.6125,200.859375,,6000,6100
62,100,0.008213043212890625,12175.754760798885,7.475,200.859375,,6100,6200
63,100,0.008478879928588867,11794.010629024548,7.625,200.859375,,6200,6300
64,100,0.008388042449951172,11921.73270422375,7.55,200.859375,,6300,6400
65,100,0.008552074432373047,11693.069417340395,7.7125,200.859375,,6400,6500
66,100,0.008308887481689453,12035.305595408896,7.4625,200.859375,,6500,6600
67,100,0.00838923454284668,11920.03865063802,7.725,200.859375,,6600,6700
68,100,0.010166168212890625,9836.547842401502,8.375,200.953125,,6700,6800
69,100,0.008170127868652344,12239.710517100502,7.4625,200.953125,,6800,6900
70,100,0.008146286010742188,12275.532662140015,7.425,200.953125,,6900,7000
71,100,0.008095026016235352,12353.264807233529,7.3875,200.953125,,7000,7100
72,100,0.008087158203125,12365.283018867925,7.4,200.953125,,7100,7200
73,100,0.007944822311401367,12586.813912312817,7.3375,200.953125,,7200,7300
74,100,0.008066177368164062,12397.446204776543,7.4,200.953125,,7300,7400
75,100,0.00866389274597168,11542.155810561655,7.7125,200.953125,,7400,7500
76,100,0.008075952529907227,12382.440291677738,7.375,200.953125,,7500,7600
77,100,0.008541107177734375,11708.083966056274,7.65,200.953125,,7600,7700
78,100,0.008146047592163086,12275.891942517634,7.4375,200.953125,,7700,7800
79,100,0.008128166198730469,12302.898040596034,7.3625,200.953125,,7800,7900
80,100,0.008118152618408203,12318.07342143906,7.3875,200.953125,,7900,8000
81,100,1.3942298889160156,71.72418321755238,0.3125,209.34375,,8000,8100
82,100,0.014456033706665039,6917.526759355466,9.625,209.34375,,8100,8200
83,100,0.01188802719116211,8411.824635995346,8.8875,209.34375,,8200,8300
84,100,0.01059269905090332,9440.4645614351,8.4625,209.34375,,8300,8400
85,100,0.009563922882080078,10455.960512539263,8.1375,209.34375,,8400,8500
86,100,0.009179115295410156,10894.296103896104,7.975,209.34375,,8500,8600
87,100,0.00894784927368164,11175.869970690115,7.8625,209.34375,,8600,8700
88,100,0.008581161499023438,11653.43409646588,7.6625,209.34375,,8700,8800
89,100,0.008336067199707031,11996.064523509896,7.5625,209.34375,,8800,8900
