I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
1,29,1.0584938526153564,27.3974193882619,0.0,194.515625,,0,29
2,16,0.0025739669799804688,6216.085957762134,9.7,194.515625,,29,45
3,24,0.0032498836517333984,7384.87975937202,9.375,194.53125,,45,69
4,33,0.0045659542083740234,7227.404939689834,9.4125,194.53125,,69,102
5,25,0.0030879974365234375,8095.8616429895,9.1625,194.546875,,102,127
6,6,0.0007071495056152344,8484.768712070128,9.05,194.546875,,127,133
7,22,0.0028679370880126953,7671.019037326461,9.025,194.546875,,133,155
8,98,0.012835025787353516,7635.35668908125,9.3375,194.75,,155,253
9,49,0.005650997161865234,8671.036030714708,8.8875,194.765625,,253,302
10,14,0.00162506103515625,8615.06103286385,9.7125,194.796875,,302,316
11,27,0.0029439926147460938,9171.218658892129,8.7375,194.796875,,316,343
12,36,0.003923892974853516,9174.562158220926,8.6625,194.796875,,343,379
13,20,0.002140045166015625,9345.59714795009,8.55,194.796875,,379,399
14,27,0.0027480125427246094,9825.2826652785,8.3875,194.796875,,399,426
15,23,0.002557039260864258,8994.777808857809,8.6625,194.796875,,426,449
16,20,0.00214385986328125,9328.96797153025,8.65,194.8125,,449,469
17,21,0.0022630691528320312,9279.433628318584,8.6125,194.8125,,469,490
18,23,0.002366781234741211,9717.839427823108,8.4625,194.8125,,490,513
19,30,0.0036590099334716797,8198.93920635955,9.0625,194.8125,,513,543
20,9,0.001009225845336914,8917.726435152374,8.6,194.8125,,543,552
21,24,0.002830982208251953,8477.623041940375,8.975,194.8125,,552,576
22,62,0.007634162902832031,8121.388132417239,9.075,194.8125,,576,638
23,6,0.0007433891296386719,8071.1430404105195,9.0375,194.8125,,638,644
24,9,0.0010638236999511719,8460.048408785298,8.875,194.8125,,644,653
25,29,0.0028231143951416016,10272.343214255552,8.2625,194.8125,,653,682
26,20,0.0019221305847167969,10405.120317539073,8.2625,194.8125,,682,702
27,29,0.0035729408264160156,8116.563192312825,9.05,194.8125,,702,731
28,19,0.0022881031036376953,8303.821610920078,8.975,194.8125,,731,750
29,24,0.002706766128540039,8866.669250418392,8.7625,194.8125,,750,774
30,16,0.0015859603881835938,10088.524353577872,8.375,194.8125,,774,790
31,19,0.001878976821899414,10111.886308844056,8.2125,194.8125,,790,809
32,23,0.002246856689453125,10236.522920203735,8.3125,194.8125,,809,832
33,21,0.0022089481353759766,9506.787263896384,8.5,194.8125,,832,853
34,20,0.001971006393432617,10147.100520140317,8.3,194.8125,,853,873
35,19,0.002319812774658203,8190.316135662898,9.4375,194.8125,,873,892
36,30,0.003332853317260742,9001.296230059375,8.7125,194.8125,,892,922
37,35,0.0038580894470214844,9071.847732047954,8.725,194.8125,,922,957
38,26,0.003175973892211914,8186.4652803843555,8.9375,194.8125,,957,983
39,47,0.005467891693115234,8595.634778058777,8.725,194.8125,,983,1030
40,29,0.0031919479370117188,9085.361219002092,8.6875,194.8125,,1030,1059
41,44,0.004641056060791016,9480.600842494607,8.5625,194.8125,,1059,1103
42,40,0.00469517707824707,8519.38049052963,8.8125,194.8125,,1103,1143
43,21,0.002106189727783203,9970.6117274168,8.2875,194.8125,,1143,1164
44,29,0.002893686294555664,10021.818900881603,8.4125,194.8125,,1164,1193
45,22,0.0023419857025146484,9393.737961926092,8.575,194.8125,,1193,1215
46,23,0.002421855926513672,9496.84898602087,8.5375,194.8125,,1215,1238
47,40,0.004094123840332031,9770.100163056139,8.475,194.8125,,1238,1278
48,24,0.0023941993713378906,10024.227843059152,8.4125,194.8125,,1278,1302
49,33,0.005213022232055664,6330.301029041848,9.8625,196.015625,,1302,1335
50,39,0.003984212875366211,9788.633594638262,8.4375,196.03125,,1335,1374
51,25,0.002476215362548828,10096.052378201424,8.375,196.03125,,1374,1399
52,23,0.0022509098052978516,10218.090456519436,8.2375,196.03125,,1399,1422
53,20,0.0019919872283935547,10040.2250149611,8.2375,196.03125,,1422,1442
54,28,0.003409862518310547,8211.474758774997,8.9625,196.03125,,1442,1470
55,17,0.0016472339630126953,10320.331162252134,8.325,196.03125,,1470,1487
56,29,0.0029659271240234375,9777.718327974277,8.3875,196.03125,,1487,1516
57,36,0.003690004348754883,9756.086063190542,8.4625,196.03125,,1516,1552
58,95,0.01028585433959961,9235.985350702333,8.6375,196.21875,,1552,1647
59,42,0.004291057586669922,9787.79686631848,8.475,196.21875,,1647,1689
60,21,0.002091646194458008,10039.938903453778,8.425,196.21875,,1689,1710
61,43,0.004676103591918945,9195.69020547596,8.625,196.21875,,1710,1753
62,26,0.00257110595703125,10112.379821958457,8.375,196.21875,,1753,1779
63,33,0.0033829212188720703,9754.882796532525,8.45,196.21875,,1779,1812
64,22,0.002232789993286133,9853.143406300054,8.3375,196.21875,,1812,1834
65,46,0.0054552555084228516,8432.2356540361,8.8,196.21875,,1834,1880
66,27,0.003123044967651367,8645.4086571494,8.85,196.21875,,1880,1907
67,12,0.0012159347534179688,9868.950588235293,8.2125,196.21875,,1907,1919
68,24,0.0023641586303710938,10151.603065752319,8.3375,196.21875,,1919,1943
69,29,0.0029418468475341797,9857.753140448984,8.3875,196.21875,,1943,1972
70,7,0.0007979869842529297,8772.072901105468,8.7625,196.21875,,1972,1979
71,22,0.002207040786743164,9968.09852003889,8.35,196.21875,,1979,2001
72,15,0.001477956771850586,10149.146636554284,8.3375,196.21875,,2001,2016
73,25,0.0029151439666748047,8575.905782285106,8.8,196.21875,,2016,2041
74,20,0.0020248889923095703,9877.084657953608,8.3875,196.21875,,2041,2061
75,29,0.0030782222747802734,9421.022074200295,8.625,196.21875,,2061,2090
76,47,0.004788875579833984,9814.412426565767,8.4375,196.21875,,2090,2137
77,10,0.0009729862213134766,10277.63783386425,8.325,196.21875,,2137,2147
78,15,0.0015528202056884766,9659.84339014279,8.3125,196.21875,,2147,2162
79,28,0.0028150081634521484,9946.68518675362,8.425,196.21875,,2162,2190
80,12,0.0011551380157470703,10388.369040247679,8.2625,196.21875,,2190,2202
81,19,0.0020911693572998047,9085.82556150952,8.6375,196.21875,,2202,2221
82,21,0.0022041797637939453,9527.353596538669,8.4875,196.21875,,2221,2242
83,24,0.0023889541625976562,10046.237125748503,8.3,196.21875,,2242,2266
84,34,0.0037360191345214844,9100.595788130186,8.675,196.21875,,2266,2300
85,38,0.004110813140869141,9243.913235123535,8.6625,196.21875,,2300,2338
86,44,0.00450587272644043,9765.033917138473,8.4375,196.21875,,2338,2382
87,45,0.005000114440917969,8999.79401106237,8.65,196.21875,,2382,2427
88,202,0.02663397789001465,7584.297052215091,9.3125,196.546875,,2427,2629
89,34,0.003718137741088867,9144.362680346265,8.7625,196.546875,,2629,2663
90,26,1.317823886871338,19.729495161699433,0.175,198.765625,,2663,2689
91,19,0.003438234329223633,5526.092226613966,9.9375,198.765625,,2689,2708
92,48,0.0075719356536865234,6339.198085582039,9.7375,198.78125,,2708,2756
93,15,0.0021698474884033203,6912.928249642896,9.5875,198.78125,,2756,2771
94,27,0.0038232803344726562,7061.998503367423,9.5,198.78125,,2771,2798
95,25,0.0033740997314453125,7409.383832673827,9.325,198.78125,,2798,2823
96,36,0.0049479007720947266,7275.81284633547,9.325,198.78125,,2823,2859
97,33,0.0042078495025634766,7842.485806561278,9.2,198.78125,,2859,2892
98,22,0.0027489662170410156,8003.008499566348,9.025,198.78125,,2892,2914
99,30,0.0036652088165283203,8185.072529759968,8.9,198.78125,,2914,2944
100,55,0.006562232971191406,8381.293416654556,8.9875,198.78125,,2944,2999
101,17,0.001909017562866211,8905.104033970276,8.8375,198.78125,,2999,3016
102,21,0.00243377685546875,8628.564263322884,8.8125,198.78125,,3016,3037
103,45,0.005156755447387695,8726.417310092931,8.8125,198.78125,,3037,3082
104,21,0.002270221710205078,9250.197857592942,8.675,198.78125,,3082,3103
105,15,0.001692056655883789,8864.951387910385,8.55,198.78125,,3103,3118
106,34,0.0036199092864990234,9392.500559836659,8.5625,198.78125,,3118,3152
107,16,0.0016448497772216797,9727.332077112625,8.45,198.78125,,3152,3168
108,32,0.0033240318298339844,9626.863290776073,8.5125,198.78125,,3168,3200
109,49,0.0053522586822509766,9155.013408169629,8.625,198.78125,,3200,3249
110,27,0.002832174301147461,9533.31155821197,8.3875,198.78125,,3249,3276
111,12,0.001190185546875,10082.461538461539,8.3875,198.78125,,3276,3288
112,23,0.0023741722106933594,9687.587065675838,8.5125,198.78125,,3288,3311
113,41,0.0041501522064208984,9879.155741942897,8.4125,198.78125,,3311,3352
114,27,0.0027091503143310547,9966.224412567104,8.4125,198.78125,,3352,3379
115,36,0.0038869380950927734,9261.78887321352,8.675,198.78125,,3379,3415
116,25,0.0024979114532470703,10008.361172091247,8.3875,198.78125,,3415,3440
117,14,0.0013921260833740234,10056.560369926357,8.425,198.78125,,3440,3454
118,21,0.002089977264404297,10047.956194387405,8.375,198.78125,,3454,3475
119,20,0.0022017955780029297,9083.49539794261,8.7625,198.78125,,3475,3495
120,20,0.001967906951904297,10163.082141991761,8.2875,198.78125,,3495,3515
121,35,0.0038352012634277344,9125.987815491731,8.9125,198.78125,,3515,3550
122,34,0.0035839080810546875,9486.85045236828,8.525,198.78125,,3550,3584
123,28,0.0027921199798583984,10028.222355050806,8.3125,198.78125,,3584,3612
124,22,0.0021178722381591797,10387.784307103457,8.25,198.78125,,3612,3634
125,36,0.003751993179321289,9594.900171570185,8.4125,198.78125,,3634,3670
126,19,0.0018639564514160156,10193.371194678946,8.3,198.78125,,3670,3689
127,35,0.0037620067596435547,9303.545218328158,8.6625,198.78125,,3689,3724
128,19,0.002343893051147461,8106.171905197843,9.0125,198.78125,,3724,3743
129,17,0.0017728805541992188,9588.914470145239,8.4875,198.78125,,3743,3760
