I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
1,100,49.75423789024353,0.38187701803238294,0.0,194.109375,,0,100
2,100,0.00410914421081543,5840.632201914708,9.9875,194.140625,,100,200
3,100,0.003427743911743164,6126.478681226959,9.85,194.015625,,200,300
4,100,0.003487825393676758,6307.655205413904,9.75,187.796875,,300,400
5,100,0.002735137939453125,6946.633193863319,9.5125,187.796875,,400,500
6,100,0.004942178726196289,6879.556949201602,9.5875,187.84375,,500,600
7,100,0.0027840137481689453,7543.066198509891,9.4,187.84375,,600,700
8,100,0.003957033157348633,7328.7230222329335,9.1375,187.859375,,700,800
9,100,0.0023941993713378906,7935.8470424218285,9.0875,187.859375,,800,900
10,100,0.002847909927368164,8076.09811636668,9.1625,187.859375,,900,1000
11,100,0.0023789405822753906,8407.10362798156,8.9625,187.859375,,1000,1100
12,100,0.0025038719177246094,7987.62902304323,8.9875,187.859375,,1100,1200
13,100,0.0023508071899414062,8507.71602434077,8.975,187.859375,,1200,1300
14,100,0.0026166439056396484,8407.716446469249,8.875,187.859375,,1300,1400
15,100,0.0013561248779296875,8848.742616033755,8.8,187.859375,,1400,1500
16,100,0.002897977828979492,8626.705059646236,8.7625,187.859375,,1500,1600
17,100,0.0024847984313964844,8853.83688351564,8.8,187.859375,,1600,1700
18,100,0.004984855651855469,8826.73502965372,8.7375,187.875,,1700,1800
19,100,0.004698991775512695,8725.275965295043,8.8375,187.875,,1800,1900
20,100,0.0021250247955322266,9411.654886121396,8.6375,187.875,,1900,2000
21,100,0.005546092987060547,8835.048405124237,8.8,187.890625,,2000,2100
22,100,0.0019109249114990234,9942.82919525889,8.4125,187.890625,,2100,2200
23,100,0.0014281272888183594,9803.04774624374,8.4875,187.890625,,2200,2300
24,100,0.002348184585571289,9794.800690425423,8.475,187.890625,,2300,2400
25,100,0.0021491050720214844,9771.509207898824,8.475,187.890625,,2400,2500
26,100,0.0020258426666259766,8885.19147934565,8.675,187.890625,,2500,2600
27,100,0.0024318695068359375,9868.950588235293,8.3,187.890625,,2600,2700
28,100,0.003070831298828125,10094.986335403726,8.4,187.890625,,2700,2800
29,100,0.002505064010620117,9181.40211287713,8.6625,187.890625,,2800,2900
30,100,0.001672983169555664,10161.488955394043,8.25,187.890625,,2900,3000
31,100,0.002050161361694336,10243.096173973718,8.2875,187.890625,,3000,3100
32,100,0.0014538764953613281,10317.244998360118,8.2,187.890625,,3100,3200
33,100,0.003509998321533203,8547.012634152969,8.9375,187.890625,,3200,3300
34,100,0.002971172332763672,8750.75461402664,8.8,187.890625,,3300,3400
35,100,0.0019769668579101562,10116.507477086348,8.3125,187.890625,,3400,3500
36,100,0.002979755401611328,8054.35237638022,9.3125,187.890625,,3500,3600
37,100,0.0024340152740478516,9860.250367322951,8.45,187.890625,,3600,3700
38,100,0.0018610954284667969,10209.041250320266,8.25,187.890625,,3700,3800
39,100,0.002456188201904297,9364.103280916326,8.575,187.890625,,3800,3900
40,100,0.0024509429931640625,8160.124513618677,8.95,187.890625,,3900,4000
41,100,0.0035839080810546875,8091.725385843534,9.0875,187.90625,,4000,4100
42,100,0.0012710094451904297,9441.314575126618,8.5375,187.90625,,4100,4200
43,100,0.004196882247924805,9769.156621030506,8.3875,187.90625,,4200,4300
44,100,0.002383708953857422,10068.34326865373,8.375,187.90625,,4300,4400
45,100,0.0051708221435546875,9476.24935448174,8.4625,187.921875,,4400,4500
46,100,0.0019829273223876953,10086.098352771432,8.2375,187.921875,,4500,4600
47,100,0.0020689964294433594,10149.848352154875,8.325,187.921875,,4600,4700
48,100,0.0015418529510498047,10377.124478119684,8.2125,187.921875,,4700,4800
49,100,0.0037260055541992188,9661.82134630151,8.5125,187.921875,,4800,4900
50,100,0.0024378299713134766,9434.620244498778,8.55,187.921875,,4900,5000
51,100,0.004415988922119141,9963.793110895152,8.4,187.953125,,5000,5100
52,100,0.0050318241119384766,9738.019237147595,8.5125,187.953125,,5100,5200
53,100,0.002602100372314453,9991.928165658786,8.425,187.953125,,5200,5300
54,100,0.002457857131958008,10171.461829469396,8.3125,187.953125,,5300,5400
55,100,0.0027871131896972656,8611.060393498718,8.7,187.96875,,5400,5500
56,100,0.017334938049316406,7614.679650107279,9.2875,189.609375,,5500,5600
57,100,0.0017418861389160156,8037.264713933753,9.1625,189.609375,,5600,5700
58,100,0.003284931182861328,7914.929888227609,9.0,189.609375,,5700,5800
59,100,0.004270076751708984,9601.700949190397,8.5,189.609375,,5800,5900
60,100,0.0018460750579833984,9750.416117783805,8.3625,189.609375,,5900,6000
61,100,0.0017352104187011719,9797.082715031602,8.175,189.609375,,6000,6100
62,100,0.0025861263275146484,10053.64653821333,8.4,189.609375,,6100,6200
63,100,0.002839803695678711,8803.425405087733,8.85,189.609375,,6200,6300
64,100,0.0031270980834960938,9593.55901189387,8.4375,189.609375,,6300,6400
65,100,0.0023660659790039062,10143.419588875453,8.2875,189.609375,,6400,6500
66,100,0.0023260116577148438,9888.170561705618,8.425,189.609375,,6500,6600
67,100,0.003010272979736328,8969.286234753683,8.7375,189.609375,,6600,6700
68,100,0.003690958023071289,9753.56527356114,8.4625,189.609375,,6700,6800
69,100,0.002231121063232422,9860.513784996794,8.425,189.609375,,6800,6900
70,100,0.0019121170043945312,8367.688778054862,8.7,189.609375,,6900,7000
71,100,0.004004240036010742,9489.940577552843,8.6125,189.609375,,7000,7100
72,100,0.002645254135131836,9828.923298783237,8.35,189.609375,,7100,7200
73,100,0.0031900405883789062,8777.3177877429,8.8,189.609375,,7200,7300
74,100,0.002359151840209961,10173.147650328448,8.35,189.609375,,7300,7400
75,100,0.004628896713256836,8641.36801442184,8.775,189.609375,,7400,7500
76,100,0.002395153045654297,8350.197093370496,8.9875,189.609375,,7500,7600
77,100,0.007517337799072266,9311.80716777672,8.625,189.609375,,7600,7700
78,100,0.0021822452545166016,10081.359991259696,8.3,189.609375,,7700,7800
79,100,0.0030989646911621094,9357.963994460686,8.5375,189.609375,,7800,7900
80,100,0.003760814666748047,10104.193736528465,8.325,189.609375,,7900,8000
81,100,0.0022459030151367188,10240.869639065817,8.325,189.609375,,8000,8100
82,100,0.0019288063049316406,9850.652163164401,8.1875,189.609375,,8100,8200
83,100,0.00434112548828125,9905.265377855887,8.4125,189.609375,,8200,8300
84,100,0.0031571388244628906,9502.27458087902,8.5125,189.609375,,8300,8400
85,100,0.002010822296142578,9946.179748636472,8.35,189.609375,,8400,8500
86,100,0.0036830902099609375,10045.91196271362,8.4125,189.609375,,8500,8600
87,100,0.0008921623229980469,10087.850347407802,8.4,189.609375,,8600,8700
88,100,0.002371072769165039,10122.00060331825,8.4,189.609375,,8700,8800
89,100,0.0017571449279785156,10243.890366350068,8.3125,189.609375,,8800,8900
90,100,0.002720355987548828,9189.973707274321,8.6625,189.609375,,8900,9000
91,100,0.0033719539642333984,9786.610478682034,8.6875,189.609375,,9000,9100
92,100,0.0022149085998535156,9932.689773950484,8.3625,189.609375,,9100,9200
93,100,0.009507894515991211,8519.236289776574,8.8125,189.609375,,9200,9300
94,100,0.001992940902709961,10035.420504845077,8.425,189.609375,,9300,9400
95,100,0.0042879581451416016,8395.604336947456,8.8875,189.609375,,9400,9500
96,100,0.002248048782348633,8006.943684377983,8.9125,189.609375,,9500,9600
97,100,0.002925872802734375,9911.572359843547,8.3875,189.609375,,9600,9700
98,100,0.0037162303924560547,9687.235773400911,8.5,189.609375,,9700,9800
99,100,0.0019960403442382812,10019.837553750598,8.325,189.609375,,9800,9900
100,100,0.002621889114379883,10297.918341365827,8.225,189.609375,,9900,10000
101,100,0.002711057662963867,8483.77381057075,8.825,189.609375,,10000,10100
102,100,0.0024843215942382812,8050.487523992322,9.0875,189.609375,,10100,10200
103,100,1.3111472129821777,16.01650813277933,0.2875,195.96875,,10200,10300
104,100,0.0054738521575927734,4201.7941547976825,10.5375,195.96875,,10300,10400
105,100,0.006020069122314453,4983.331485148515,10.3375,195.96875,,10400,10500
106,100,0.0015368461608886719,5856.148929568725,10.025,195.96875,,10500,10600
107,100,0.004103183746337891,5849.116560139454,9.975,195.96875,,10600,10700
108,100,0.010707855224609375,5790.141788386178,9.95,195.96875,,10700,10800
109,100,0.0008249282836914062,7273.359537572254,9.4875,195.96875,,10800,10900
110,100,0.0012559890747070312,7165.6674259681095,9.4875,195.96875,,10900,11000
111,100,0.004085063934326172,7099.032099918291,9.4125,195.96875,,11000,11100
112,100,0.0027141571044921875,7368.770203794799,9.125,195.96875,,11100,11200
113,100,0.003901958465576172,7432.16522057925,9.35,195.96875,,11200,11300
114,100,0.0023179054260253906,8197.055749845711,9.175,195.96875,,11300,11400
115,100,0.0029859542846679688,8037.631427658895,9.1125,195.96875,,11400,11500
116,100,0.0019462108612060547,8221.10302584834,9.1,195.96875,,11500,11600
117,100,0.0022821426391601562,8325.509402423735,8.925,195.96875,,11600,11700
118,100,0.0027081966400146484,8492.736332423628,8.9375,195.96875,,11700,11800
119,100,0.0025200843811035156,8333.054304635762,8.85,195.96875,,11800,11900
120,100,0.0022771358489990234,8782.963040519317,8.8875,195.96875,,11900,12000
121,100,0.0021860599517822266,8691.435925400807,8.875,195.96875,,12000,12100
122,100,0.0033719539642333984,8896.918616983667,8.8375,195.96875,,12100,12200
123,100,0.003938913345336914,8885.699412868471,8.7,195.96875,,12200,12300
124,100,0.0027799606323242188,9352.650428816467,8.7,195.96875,,12300,12400
125,100,0.0050280094146728516,9347.63563943288,8.6125,195.96875,,12400,12500
126,100,0.003081083297729492,9412.273930201965,8.6625,195.96875,,12500,12600
127,100,0.0046269893646240234,9509.423197815222,8.5875,195.96875,,12600,12700
128,100,0.004472017288208008,8944.509249880044,8.6625,195.96875,,12700,12800
129,100,0.0021419525146484375,9804.138913624221,8.4625,195.96875,,12800,12900
130,100,0.0029327869415283203,9888.205511747012,8.5,195.96875,,12900,13000
131,100,0.0021812915802001953,10085.767624877035,8.35,195.96875,,13000,13100
132,100,0.002255678176879883,10196.490011626678,8.325,195.96875,,13100,13200
133,100,0.004203081130981445,9516.827953939532,8.775,195.96875,,13200,13300
134,100,0.002794027328491211,8589.75134397133,8.9125,195.96875,,13300,13400
135,100,0.0036470890045166016,9048.312218081977,8.6625,195.96875,,13400,13500
136,100,0.004171133041381836,9349.977479279794,8.6125,195.96875,,13500,13600
137,100,0.0024869441986083984,10052.497363627648,8.3125,195.96875,,13600,13700
138,100,0.0022449493408203125,10245.220050977061,8.275,195.96875,,13700,13800
139,100,0.002237081527709961,8940.219545987424,8.6625,195.96875,,13800,13900
140,100,0.0028221607208251953,9921.47604967475,8.25,195.96875,,13900,14000
141,100,0.0016436576843261719,10342.786190890629,8.2875,195.96875,,14000,14100
142,100,0.002992868423461914,9689.700947980562,8.475,195.96875,,14100,14200
143,100,0.003715991973876953,9687.85730784037,8.4875,195.96875,,14200,14300
144,100,0.010126829147338867,9381.021306650971,8.5625,195.96875,,14300,14400
145,100,0.004336118698120117,9686.081706713587,8.5,195.96875,,14400,14500
146,100,0.0021889209747314453,9593.767999128635,8.5,195.96875,,14500,14600
147,100,0.004389762878417969,9795.517705844015,8.425,195.96875,,14600,14700
148,100,0.0028171539306640625,9229.172647257956,8.4375,195.96875,,14700,14800
149,100,0.003342151641845703,9873.87872735055,8.45,195.96875,,14800,14900
150,100,0.002190113067626953,10045.143479207489,8.3625,195.96875,,14900,15000
151,100,0.00487208366394043,9441.545583557621,8.5625,195.96875,,15000,15100
152,100,0.004968166351318359,5434.600633458105,10.2,197.015625,,15100,15200
153,100,0.0012388229370117188,9686.614318706697,8.0125,197.015625,,15200,15300
154,100,0.0023360252380371094,10273.861604409063,8.275,197.015625,,15300,15400
155,100,0.002914905548095703,9948.864387371175,8.3875,197.015625,,15400,15500
156,100,0.0008690357208251953,8054.904801097394,9.025,197.015625,,15500,15600
157,100,0.002421855926513672,9083.942508367789,8.7125,197.015625,,15600,15700
158,100,0.0014681816101074219,10216.71971419292,8.3,197.015625,,15700,15800
159,100,0.0024771690368652344,10092.165543792107,8.35,197.015625,,15800,15900
160,100,0.002413034439086914,8288.319336033988,9.0375,197.03125,,15900,16000
161,100,0.003468036651611328,8362.080021999174,8.825,197.03125,,16000,16100
162,100,0.004803895950317383,9783.725643952554,8.3875,197.03125,,16100,16200
163,100,0.0009620189666748047,10394.805452292441,8.2875,197.03125,,16200,16300
164,100,0.001470327377319336,10201.809631911789,8.275,197.03125,,16300,16400
165,100,0.002794027328491211,10021.37656796655,8.25,197.03125,,16400,16500
166,100,0.001191854476928711,10068.34326865373,8.3,197.03125,,16500,16600
167,100,0.0019402503967285156,9792.55050380929,8.475,197.03125,,16600,16700
168,100,0.002031087875366211,10339.28677074774,8.35,197.03125,,16700,16800
169,100,0.002351999282836914,10204.084744044601,8.375,197.03125,,16800,16900
170,100,0.003451824188232422,9849.86434590413,8.45,197.03125,,16900,17000
171,100,0.00407099723815918,9334.322225475842,8.425,197.03125,,17000,17100
172,100,0.004488945007324219,9801.857658806033,8.4875,197.03125,,17100,17200
173,100,0.004801034927368164,9372.979093211501,8.4375,197.03125,,17200,17300
174,100,0.02498006820678711,8086.4470956535015,9.1,197.21875,,17300,17400
175,100,0.0034189224243164062,9944.653835425384,8.3875,197.21875,,17400,17500
176,100,0.0031812191009521484,8172.9673986359885,9.0375,197.21875,,17500,17600
177,100,0.002360105514526367,8050.487523992322,9.1125,197.21875,,17600,17700
178,100,0.005420684814453125,8854.969739619986,8.7,197.21875,,17700,17800
179,100,0.00150299072265625,9980.10152284264,8.3625,197.21875,,17800,17900
180,100,0.0027229785919189453,9915.612293144208,8.4,197.21875,,17900,18000
181,100,0.002460956573486328,10158.651424142608,8.275,197.21875,,18000,18100
182,100,0.0038788318634033203,9281.144753826295,8.5375,197.21875,,18100,18200
183,100,0.0036318302154541016,9086.32784087179,8.6875,197.21875,,18200,18300
184,100,0.0025081634521484375,8771.358174904943,8.825,197.21875,,18300,18400
185,100,0.0029571056365966797,10145.055228573732,8.325,197.21875,,18400,18500
186,100,0.006231069564819336,8826.73502965372,8.775,197.21875,,18500,18600
187,100,0.002010822296142578,8454.252786341001,9.0,197.21875,,18600,18700
188,100,0.0021529197692871094,9754.19534883721,8.3875,197.21875,,18700,18800
189,100,0.004623889923095703,9732.06558729504,8.4125,197.21875,,18800,18900
190,100,0.002174854278564453,9655.819337864503,8.425,197.21875,,18900,19000
191,100,0.0016472339630126953,9106.174554928355,8.6875,197.21875,,19000,19100
192,100,0.003799915313720703,8947.567825323127,8.6375,197.21875,,19100,19200
193,100,0.002109050750732422,7586.351345240787,9.0875,197.21875,,19200,19300
194,100,0.003661632537841797,8739.271259278552,8.875,197.21875,,19300,19400
195,100,0.005203962326049805,9415.90213955193,8.5875,197.21875,,19400,19500
196,100,0.0029850006103515625,9045.22428115016,8.6875,197.21875,,19500,19600
197,100,0.0011649131774902344,10301.196889070814,8.2875,197.21875,,19600,19700
