I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
1,2,1.0364570617675781,2.8944759128600923,0.0,190.71875,,0,2
2,7,0.0019910335540771484,3515.761944677284,12.85,194.8125,,2,9
3,16,0.0019388198852539062,8252.442695523856,9.0625,194.84375,,9,25
4,16,0.001962900161743164,8151.204178306814,9.0,194.84375,,25,41
5,12,0.0013859272003173828,8658.463444004818,8.925,194.84375,,41,53
6,15,0.0017359256744384766,8640.922950144211,8.8375,194.859375,,53,68
7,5,0.0005810260772705078,8605.465736561346,8.9,194.875,,68,73
8,3,0.0004258155822753906,7045.3034714445685,9.625,194.875,,73,76
9,8,0.0009238719940185547,8659.208258064516,8.925,194.875,,76,84
10,21,0.002569913864135742,8171.4801001948235,8.85,194.890625,,84,105
11,8,0.00084686279296875,9446.63063063063,8.675,194.890625,,105,113
12,10,0.001024007797241211,9765.550640279394,8.4625,194.890625,,113,123
13,5,0.0005230903625488281,9558.577939835915,8.6125,194.890625,,123,128
14,19,0.001984119415283203,9576.036529680365,8.45,194.890625,,128,147
15,19,0.0019538402557373047,9724.438804148871,8.4375,194.90625,,147,166
16,17,0.0017347335815429688,9799.775700934579,8.45,194.90625,,166,183
17,8,0.0007939338684082031,10076.406006006006,8.3375,194.90625,,183,191
18,13,0.0013580322265625,9572.67415730337,8.275,194.90625,,191,204
19,16,0.0015559196472167969,10283.30738584125,8.25,194.90625,,204,220
20,17,0.0016841888427734375,10093.879954699887,8.2875,194.90625,,220,237
21,13,0.0012450218200683594,10441.584067407124,8.175,194.90625,,237,250
22,27,0.0025908946990966797,10421.110518082267,8.1625,194.921875,,250,277
23,5,0.0004978179931640625,10043.83141762452,8.4125,194.921875,,277,282
24,14,0.0012960433959960938,10802.107431935246,8.05,194.921875,,282,296
25,8,0.0007920265197753906,10100.671884406984,7.95,194.921875,,296,304
26,59,0.005296945571899414,11138.494666246568,7.8875,195.03125,,304,363
27,15,0.0013861656188964844,10821.217750257998,8.0,195.03125,,363,378
28,15,0.0013360977172851562,11226.723768736616,7.825,195.03125,,378,393
29,8,0.0007171630859375,11155.063829787234,8.0,195.03125,,393,401
30,15,0.0013551712036132812,11068.712174524982,7.8,195.03125,,401,416
31,5,0.0004489421844482422,11137.291556027616,8.1,195.03125,,416,421
32,3,0.0002727508544921875,10999.048951048951,8.2625,195.03125,,421,424
33,28,0.002438783645629883,11481.133248606902,7.75,195.03125,,424,452
34,3,0.000286102294921875,10485.76,8.2,195.03125,,452,455
35,15,0.0013170242309570312,11389.31209268646,7.6875,195.03125,,455,470
36,16,0.0014061927795410156,11378.24075957952,7.775,195.03125,,470,486
37,9,0.0008330345153808594,10803.874069834,8.0875,195.03125,,486,495
38,12,0.0010690689086914062,11224.72078501338,7.6875,195.03125,,495,507
39,16,0.001363992691040039,11730.268134941443,7.6125,195.03125,,507,523
40,29,0.0024538040161132812,11818.384764865916,7.575,195.03125,,523,552
41,13,0.00115203857421875,11284.344370860927,7.7875,195.03125,,552,565
42,21,0.0017981529235839844,11678.650755767701,7.65,195.046875,,565,586
43,12,0.0010879039764404297,11030.385272846812,9.225,195.046875,,586,598
44,29,0.0024209022521972656,11979.004924167815,7.5375,195.046875,,598,627
45,15,0.001268148422241211,11828.268471517202,7.5625,195.046875,,627,642
46,4,0.000347137451171875,11522.813186813188,7.8375,195.046875,,642,646
47,10,0.0008521080017089844,11735.601566871852,7.65,195.046875,,646,656
48,15,0.0013761520385742188,10899.95841995842,7.9125,195.046875,,656,671
49,12,0.0010020732879638672,11975.172019985725,7.525,195.046875,,671,683
50,5,0.0004189014434814453,11935.981787137165,7.725,195.046875,,683,688
51,11,0.0009176731109619141,11986.839179007535,7.55,195.046875,,688,699
52,18,0.0015077590942382812,11938.246679316888,7.5,195.046875,,699,717
53,15,0.0014579296112060547,10288.562551103843,8.2625,195.046875,,717,732
54,18,0.0017328262329101562,10387.654375343973,8.2,195.046875,,732,750
55,15,0.0012998580932617188,11539.721203228173,7.7125,195.046875,,750,765
56,14,0.0012888908386230469,10862.052534221235,7.9125,195.046875,,765,779
57,41,0.003368854522705078,12170.308846426044,7.375,195.046875,,779,820
58,6,0.0004909038543701172,12222.352598348712,7.5875,195.046875,,820,826
59,6,0.0004940032958984375,12145.667953667953,7.5875,195.046875,,826,832
60,9,0.0007829666137695312,11494.74299634592,7.6625,195.046875,,832,841
61,13,0.0012629032135009766,10293.742118180102,8.2,195.046875,,841,854
62,13,0.0012578964233398438,10334.714177407126,8.1875,195.046875,,854,867
63,33,0.0028128623962402344,11731.82166468893,7.65,195.046875,,867,900
64,5,0.0004169940948486328,11990.577472841624,7.75,195.046875,,900,905
65,11,0.0009198188781738281,11958.876101607051,7.3625,195.046875,,905,916
66,8,0.0007710456848144531,10375.520098948671,8.1,195.046875,,916,924
67,16,0.0015573501586914062,10273.861604409063,8.1625,195.046875,,924,940
68,14,0.0012400150299072266,11290.185733512786,7.8375,195.046875,,940,954
69,8,0.0007731914520263672,10346.725871106999,8.25,195.046875,,954,962
70,29,0.0027840137481689453,10416.615226513659,8.125,195.0625,,962,991
71,10,0.0009710788726806641,10297.82469923889,8.225,195.0625,,991,1001
72,11,0.0010318756103515625,10660.199630314233,7.8875,195.0625,,1001,1012
73,20,0.00162506103515625,12307.230046948356,7.4625,195.0625,,1012,1032
74,9,0.0008769035339355469,10263.386623164763,8.025,195.0625,,1032,1041
75,15,0.0014541149139404297,10315.55336940482,8.2,195.0625,,1041,1056
76,10,0.0009660720825195312,10351.194471865745,8.225,195.0625,,1056,1066
77,13,0.0011818408966064453,10999.78858180351,8.5375,195.0625,,1066,1079
78,8,0.000659942626953125,12122.265895953757,7.6,195.0625,,1079,1087
79,12,0.0009629726409912109,12461.41322109433,7.375,195.0625,,1087,1099
80,17,0.0013670921325683594,12435.15312173003,7.3,195.0625,,1099,1116
81,12,0.0010271072387695312,11683.298050139276,7.5875,195.0625,,1116,1128
82,12,0.0010459423065185547,11472.908137679507,7.7375,195.0625,,1128,1140
83,17,0.0013630390167236328,12472.130138184362,7.4625,195.0625,,1140,1157
84,5,0.0004100799560546875,12192.744186046511,7.625,195.0625,,1157,1162
85,13,0.0011310577392578125,11493.66610455312,7.775,195.0625,,1162,1175
86,16,0.0015621185302734375,10242.50061050061,8.2125,195.0625,,1175,1191
87,8,0.0006489753723144531,12327.12417340191,7.5125,195.0625,,1191,1199
88,23,0.002065896987915039,11133.178534333525,7.8125,195.0625,,1199,1222
