I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
1,11,1.048926830291748,95.33553448355025,0.0,192.078125,,0,11
2,11,0.011121749877929688,8991.390842051107,8.6625,192.09375,,11,22
3,11,0.010087966918945312,9912.800151257326,8.5125,192.109375,,22,33
4,11,0.009601831436157227,10414.679810294738,8.1125,192.125,,33,44
5,11,0.009184122085571289,10888.35700007788,7.925,192.125,,44,55
6,11,0.009076118469238281,11017.925816959127,8.0375,192.125,,55,66
7,11,0.009285211563110352,10769.813840030813,8.0125,192.140625,,66,77
8,11,0.010105133056640625,9895.96073990185,8.2875,192.140625,,77,88
9,11,0.009525060653686523,10498.620810492854,8.1125,192.140625,,88,99
10,11,0.009391069412231445,10648.414531975932,7.9875,192.140625,,99,110
11,11,0.00902104377746582,11085.191743531464,7.95,192.15625,,110,121
12,11,0.009568929672241211,10450.489597608073,8.075,192.15625,,121,132
13,11,0.009289979934692383,10764.28589760041,7.95,192.15625,,132,143
14,11,0.011500120162963867,8695.56131439826,8.7625,193.515625,,143,154
15,11,0.009012937545776367,11095.161759648705,7.775,193.515625,,154,165
16,11,0.009792089462280273,10212.324998173894,8.15,193.515625,,165,176
17,11,0.010045051574707031,9955.150479445552,8.25,193.515625,,176,187
18,11,0.008730888366699219,11453.588203167668,7.7,193.515625,,187,198
19,11,0.008802175521850586,11360.827758064954,7.75,193.515625,,198,209
20,11,0.008840084075927734,11312.109606774908,7.75,193.515625,,209,220
21,11,0.00892496109008789,11204.530640594112,7.825,193.515625,,220,231
22,11,0.008636236190795898,11579.118239792397,7.725,193.515625,,231,242
23,11,0.009191036224365234,10880.166018158236,7.925,193.515625,,242,253
24,11,0.00894308090209961,11181.828845641163,7.825,193.515625,,253,264
25,11,0.009682893753051758,10327.491197399848,8.15,193.515625,,264,275
26,11,0.009706974029541016,10301.871592081348,8.1125,193.515625,,275,286
27,11,1.3701128959655762,72.98668620261822,0.2125,196.890625,,286,297
28,11,0.013844013214111328,7223.338959115489,8.8875,196.90625,,297,308
29,11,0.011845111846923828,8442.301034579928,8.575,196.90625,,308,319
30,11,0.010467052459716797,9553.787982324267,8.3,196.921875,,319,330
31,11,0.010081052780151367,9919.598893172197,8.175,196.921875,,330,341
32,11,0.009615898132324219,10399.444609739165,7.9875,196.921875,,341,352
