I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
1,0,8.350062131881714,0.11975958791753885,0.0,189.5,,0,0
2,9531,5.000375032424927,1906.0570333617459,1.5625,240.5,,0,9531
3,9278,6.322516918182373,1467.4535663666177,1.225,246.5625,,9531,18809
4,8074,5.541696786880493,1456.9544871373193,5.3625,298.203125,,18809,26883
5,285,5.015773057937622,56.820752595450536,12.4375,287.59375,,26883,27168
6,532,5.0069708824157715,106.2518661469267,12.4125,287.515625,,27168,27700
7,307,5.016807794570923,61.19429178295978,12.4375,287.296875,,27700,28007
8,6940,5.377553939819336,1290.5495840053175,5.425,281.734375,,28007,34947
9,9416,4.999316930770874,1883.4573063460675,1.6,280.015625,,34947,44363
10,9420,6.346779823303223,1484.2172349217087,1.25,280.28125,,44363,53783
